tags_collected, collisions_in_seconds, time_in_minutes, random_seed
189, 46161.8, 30, 661660
165, 46153.5, 30, 442343
179, 46102.4, 30, 191815
166, 46137.8, 30, 945997
201, 45776.8, 30, 887940
184, 46602.5, 30, 433257
206, 45688.4, 30, 502235
184, 46215.6, 30, 60031
180, 46666.8, 30, 241547
180, 46295.9, 30, 645030
168, 46009.7, 30, 404528
182, 45887.5, 30, 83696
188, 45666.9, 30, 374191
199, 45897.8, 30, 594293
170, 46631.9, 30, 295321
203, 45612.6, 30, 807256
214, 45412.7, 30, 925462
207, 45571.9, 30, 178025
204, 46054.4, 30, 7815
194, 45864.6, 30, 577343
188, 46069.7, 30, 765195
181, 45836.4, 30, 436596
189, 45209.6, 30, 974145
206, 44867.5, 30, 859198
185, 45824.8, 30, 401834
187, 45994.2, 30, 119853
201, 45808.9, 30, 417346
202, 45543.6, 30, 121233
186, 46325.3, 30, 230946
184, 45973.5, 30, 421758
171, 46255.1, 30, 542183
192, 46281.8, 30, 131413
213, 45061.4, 30, 583992
187, 45934.5, 30, 417340
214, 45234.8, 30, 573731
181, 46046.4, 30, 678280
165, 46491.6, 30, 606850
169, 46343.5, 30, 431615
193, 45857.7, 30, 784318
186, 46187.9, 30, 3337
208, 45361, 30, 55330
187, 45851.5, 30, 406183
190, 46136.6, 30, 280923
206, 45141.4, 30, 77947
197, 45763.2, 30, 70431
191, 46431.8, 30, 824906
190, 45465.4, 30, 611850
195, 45837.6, 30, 668172
187, 46159, 30, 750939
174, 46821.8, 30, 407001
176, 46065.3, 30, 465908
207, 45746.9, 30, 543628
206, 45988.5, 30, 582344
182, 46504.9, 30, 718109
190, 46258.5, 30, 539006
207, 45629.2, 30, 966468
193, 46049.1, 30, 937121
181, 45985.5, 30, 257049
193, 46063.2, 30, 494638
186, 45729.7, 30, 937239
