tags_collected, collisions_in_seconds, time_in_minutes, random_seed
64, 79101.4, 30, 642933
53, 79173.8, 30, 86698
60, 77999.2, 30, 128987
65, 79569.7, 30, 491089
60, 79318.5, 30, 770109
60, 78967.9, 30, 538821
63, 79898.3, 30, 183564
58, 80345.1, 30, 111701
64, 79612.1, 30, 146832
68, 79261.1, 30, 117640
64, 79366.8, 30, 160593
67, 79932.5, 30, 913675
58, 79398.5, 30, 295986
75, 78754.8, 30, 691948
65, 78233.8, 30, 515045
47, 79625.9, 30, 823676
66, 78269.2, 30, 5331
54, 79416.1, 30, 981043
61, 79306.6, 30, 909332
55, 79964, 30, 713726
56, 79953.1, 30, 543689
51, 80346, 30, 502374
56, 80569, 30, 434936
64, 78719.4, 30, 996345
61, 78944.3, 30, 680103
52, 79088.3, 30, 585233
68, 79425.1, 30, 410996
52, 79687.1, 30, 642662
65, 78547.2, 30, 38649
55, 78646.2, 30, 855825
62, 79505.3, 30, 943571
64, 79149.4, 30, 336426
55, 79793, 30, 43499
69, 79045.2, 30, 416928
55, 79003.5, 30, 623603
52, 79851.7, 30, 593430
53, 79546.7, 30, 590465
65, 78311.8, 30, 536824
58, 80351.6, 30, 286453
66, 78393.4, 30, 378074
57, 79514.1, 30, 541943
66, 79712.5, 30, 177586
62, 78564, 30, 635898
68, 79265.3, 30, 966043
60, 79617.8, 30, 526440
63, 79696, 30, 256368
59, 79138.8, 30, 159985
50, 79674, 30, 941447
53, 79522.6, 30, 597403
44, 79487.9, 30, 52495
57, 80003.2, 30, 888044
64, 78199.6, 30, 226181
66, 79484.6, 30, 153818
61, 80268.7, 30, 643012
67, 79229.8, 30, 400356
66, 79962.3, 30, 310317
66, 79050.6, 30, 159638
62, 79121.6, 30, 462603
64, 77918.8, 30, 353697
57, 79267, 30, 588484
