tags_collected, collisions_in_seconds, time_in_minutes, random_seed
155, 4334.72, 30, 333616
155, 4390.83, 30, 398089
164, 4313.62, 30, 490221
144, 4453.52, 30, 651991
124, 4833.72, 30, 829725
163, 4271.06, 30, 341732
160, 4318.36, 30, 456214
144, 4470.67, 30, 977369
147, 4414.39, 30, 604539
146, 4473.39, 30, 136912
159, 4289.62, 30, 459318
146, 4505.3, 30, 680729
176, 4195.64, 30, 313547
136, 4574.55, 30, 328187
166, 4221.89, 30, 217569
156, 4400.31, 30, 282184
158, 4279.52, 30, 17866
175, 4143.36, 30, 621602
157, 4218.33, 30, 492489
139, 4439.98, 30, 426130
172, 4188.89, 30, 119903
149, 4474.52, 30, 405716
173, 4081.3, 30, 924906
167, 4271.52, 30, 951307
167, 4297.08, 30, 458245
156, 4413.3, 30, 209312
161, 4317.78, 30, 362775
125, 4706.81, 30, 202282
167, 4252.81, 30, 787903
156, 4382.17, 30, 376226
150, 4422.86, 30, 184410
153, 4420.47, 30, 492978
160, 4309, 30, 44741
150, 4370.69, 30, 836610
159, 4260.09, 30, 998104
152, 4393.53, 30, 224387
168, 4241.03, 30, 282453
152, 4465.78, 30, 652840
155, 4346.06, 30, 174529
151, 4422.47, 30, 439055
