tags_collected, collisions_in_seconds, time_in_minutes, random_seed
298, 132079, 30, 300780
369, 130442, 30, 729404
416, 127422, 30, 398589
327, 129773, 30, 890778
568, 122644, 30, 726819
298, 130182, 30, 888490
589, 121763, 30, 827249
501, 124880, 30, 525918
360, 129258, 30, 190381
353, 129266, 30, 855407
257, 133770, 30, 471835
585, 120614, 30, 829292
404, 129812, 30, 920529
312, 130881, 30, 543366
372, 128813, 30, 319967
441, 125103, 30, 277558
396, 127642, 30, 179438
308, 130363, 30, 858137
243, 133675, 30, 305281
299, 132166, 30, 555981
294, 132639, 30, 512561
562, 124018, 30, 704317
637, 118544, 30, 129022
492, 123413, 30, 531079
377, 128718, 30, 745894
314, 130757, 30, 344590
376, 130291, 30, 767209
396, 127617, 30, 297530
354, 130504, 30, 157230
352, 127533, 30, 648540
435, 126307, 30, 255396
371, 127173, 30, 501182
332, 131776, 30, 610221
271, 132471, 30, 90684
651, 117778, 30, 930292
319, 129694, 30, 338378
447, 126008, 30, 804845
570, 121893, 30, 95157
408, 128111, 30, 6475
444, 126337, 30, 205855
522, 123642, 30, 695690
665, 118832, 30, 726457
454, 127217, 30, 2189
397, 127237, 30, 159983
650, 119468, 30, 189531
370, 129250, 30, 401034
545, 121285, 30, 64317
434, 125472, 30, 778879
370, 128697, 30, 54885
389, 128682, 30, 180726
384, 128197, 30, 346922
256, 132696, 30, 347199
383, 128621, 30, 755321
407, 127895, 30, 495427
563, 122137, 30, 919467
295, 130254, 30, 782682
344, 131165, 30, 767658
373, 127415, 30, 844349
278, 133563, 30, 806052
389, 129225, 30, 605022
