tags_collected, collisions_in_seconds, time_in_minutes, random_seed
2611, 54491.1, 30, 34169
2680, 53538.3, 30, 543914
2670, 54668.8, 30, 239456
2667, 54250.1, 30, 708655
2651, 54339.5, 30, 234247
2692, 53698.2, 30, 206411
2663, 53464.4, 30, 649834
2662, 54264.1, 30, 44948
2678, 54202, 30, 684116
2636, 55447.7, 30, 293473
2642, 54411.2, 30, 945761
2669, 53907.6, 30, 148187
2665, 54089.5, 30, 434272
2647, 54976.8, 30, 108920
2673, 53441, 30, 379299
2619, 54923, 30, 546357
2638, 55664.2, 30, 43274
2674, 54534.2, 30, 210706
2661, 53920, 30, 932005
2644, 54008, 30, 176076
2602, 54404.7, 30, 20706
2679, 54368.3, 30, 839006
2686, 55125.9, 30, 946271
2641, 54129, 30, 713311
2642, 54617.4, 30, 315395
2722, 54139.1, 30, 798153
2655, 55494.3, 30, 466423
2678, 55115, 30, 159202
2641, 54475.2, 30, 819299
2671, 55039.1, 30, 649562
2661, 55204.8, 30, 637659
2697, 54012.8, 30, 921898
2625, 55443.6, 30, 466924
2722, 54106.1, 30, 535824
2667, 54537.8, 30, 659680
2674, 54671, 30, 396802
2674, 54259.7, 30, 977305
2641, 53941, 30, 438684
2607, 54861.6, 30, 67022
2656, 54467.7, 30, 782342
2675, 54023.1, 30, 348617
2674, 54696.8, 30, 542476
2659, 53576, 30, 289112
2670, 54472.3, 30, 440328
2660, 54603.4, 30, 541753
2687, 53764.8, 30, 812355
2682, 53501.4, 30, 675662
2851, 53550.2, 30, 675042
2651, 54062.7, 30, 276000
2781, 53298.4, 30, 592953
2642, 53918.9, 30, 288315
2649, 55547.4, 30, 502360
2685, 54775.8, 30, 465901
2693, 54790, 30, 26850
2692, 54872.3, 30, 343183
2657, 54167.2, 30, 831761
2667, 54739, 30, 535505
2602, 54860.5, 30, 968868
2642, 54493.4, 30, 777733
2644, 54756.7, 30, 306543
2695, 53887.5, 30, 309357
2655, 53609, 30, 996841
2853, 53870.7, 30, 88216
2675, 53842.9, 30, 703108
2640, 54235.7, 30, 959469
2660, 53705.9, 30, 69768
2670, 54513, 30, 189530
2674, 54727.4, 30, 950548
2663, 53917.1, 30, 379710
2699, 53725.6, 30, 91473
2661, 53852, 30, 388337
2661, 53981.7, 30, 395059
2664, 54856.1, 30, 612405
2677, 54005.5, 30, 301060
2607, 54070.6, 30, 449449
2626, 55035.7, 30, 685239
2692, 54027.2, 30, 988361
2682, 54141.8, 30, 698906
2666, 54161.1, 30, 315571
2679, 53648.6, 30, 260213
