tags_collected, collisions_in_seconds, time_in_minutes, random_seed
128, 1130.7, 30, 888636
109, 1175.55, 30, 837850
112, 1151.22, 30, 676774
114, 1138.73, 30, 521409
112, 1155.98, 30, 383042
128, 1128.95, 30, 337436
117, 1130.52, 30, 200569
125, 1128.53, 30, 102934
120, 1127.84, 30, 17529
128, 1110.59, 30, 895367
126, 1143.88, 30, 843403
120, 1110.33, 30, 785472
117, 1160.59, 30, 594263
120, 1164.41, 30, 435305
124, 1120.39, 30, 321211
122, 1105.47, 30, 240628
118, 1153.95, 30, 83427
119, 1141.83, 30, 24780
121, 1135.73, 30, 915042
118, 1121.77, 30, 790109
129, 1130.45, 30, 238345
120, 1165.98, 30, 632651
128, 1108.86, 30, 170759
116, 1142.2, 30, 663068
131, 1136.53, 30, 178849
124, 1117.78, 30, 708468
120, 1128.33, 30, 44864
115, 1143.45, 30, 362440
126, 1134.78, 30, 804006
115, 1163.92, 30, 379391
114, 1123.55, 30, 857086
117, 1129.86, 30, 265961
120, 1145.97, 30, 596131
123, 1114.86, 30, 35030
121, 1137.03, 30, 738984
122, 1133.02, 30, 211779
120, 1098.83, 30, 770614
124, 1107.39, 30, 169564
122, 1158.95, 30, 520695
121, 1140.23, 30, 830022
115, 1170.67, 30, 512025
117, 1124.42, 30, 86583
128, 1114.67, 30, 767344
126, 1135.75, 30, 444988
122, 1143.61, 30, 138607
124, 1129.19, 30, 871112
116, 1110.09, 30, 649338
126, 1102.92, 30, 428905
117, 1127.55, 30, 231693
122, 1126.27, 30, 950294
118, 1105.48, 30, 778331
107, 1158.25, 30, 714994
118, 1159.88, 30, 371664
128, 1121.75, 30, 124624
131, 1113.02, 30, 910875
117, 1139.23, 30, 685415
125, 1133.38, 30, 595122
120, 1127.2, 30, 342236
126, 1133.55, 30, 82089
106, 1153.41, 30, 136810
119, 1150.72, 30, 421352
126, 1132.45, 30, 868945
118, 1153.69, 30, 344257
123, 1097.27, 30, 716403
116, 1150.53, 30, 333559
122, 1146.39, 30, 772047
123, 1138.83, 30, 335042
119, 1133.94, 30, 823649
124, 1127.28, 30, 345926
119, 1125.5, 30, 948035
117, 1116.8, 30, 581940
120, 1159.95, 30, 995131
122, 1132.83, 30, 493866
122, 1122.45, 30, 944024
128, 1120.83, 30, 420673
127, 1103.72, 30, 58646
122, 1113.31, 30, 528468
128, 1101.41, 30, 42991
124, 1127.8, 30, 507431
127, 1137.97, 30, 37716
