tags_collected, collisions_in_seconds, time_in_minutes, random_seed
124, 1141.31, 30, 200471
124, 1121.27, 30, 796721
120, 1152.14, 30, 812198
130, 1128.25, 30, 422255
130, 1121.17, 30, 13735
124, 1136.97, 30, 442727
129, 1107.16, 30, 51751
125, 1128.67, 30, 560906
122, 1133.83, 30, 169086
128, 1145.7, 30, 563009
115, 1155.16, 30, 571119
116, 1133.81, 30, 788364
124, 1134.03, 30, 965190
131, 1102.3, 30, 499935
125, 1127.81, 30, 969922
130, 1106.5, 30, 841221
111, 1155.8, 30, 820416
117, 1149, 30, 38950
112, 1161.48, 30, 417137
117, 1155.34, 30, 968640
122, 1139.31, 30, 921467
126, 1151.41, 30, 154445
120, 1133.23, 30, 613113
120, 1118.92, 30, 144719
118, 1126.22, 30, 865425
126, 1113.02, 30, 699391
124, 1113.53, 30, 782795
118, 1129.38, 30, 577268
122, 1143.53, 30, 159525
124, 1127.95, 30, 12729
129, 1107.77, 30, 907568
124, 1121.94, 30, 344400
123, 1112.45, 30, 524249
122, 1127, 30, 325336
124, 1129.5, 30, 101181
129, 1123.78, 30, 200632
116, 1144.7, 30, 55925
116, 1176.81, 30, 539724
121, 1112.55, 30, 201921
120, 1125.34, 30, 113352
