tags_collected, collisions_in_seconds, time_in_minutes, random_seed
0, 1642.39, 30, 14841
0, 1616.69, 30, 620876
0, 1637.98, 30, 725838
0, 1524.69, 30, 819119
0, 1630.92, 30, 478859
0, 1606.02, 30, 722553
0, 1539.89, 30, 387169
0, 1569.61, 30, 79820
0, 1605.44, 30, 341577
0, 1663.92, 30, 620152
0, 1627.98, 30, 236357
0, 1574.14, 30, 989062
0, 1565.98, 30, 130334
0, 1715.66, 30, 167720
0, 1557.98, 30, 523302
0, 1602.56, 30, 123834
0, 1550.42, 30, 5107
0, 1680.3, 30, 254172
0, 1558.28, 30, 358579
0, 1661.08, 30, 650028
