tags_collected, collisions_in_seconds, time_in_minutes, random_seed
1352, 13305.7, 30, 146744
1356, 13442.7, 30, 756498
1384, 13526.2, 30, 928107
1364, 13444, 30, 326726
1408, 13310.6, 30, 16783
1372, 13559.2, 30, 851981
1372, 13541.3, 30, 624074
1344, 13519.8, 30, 309043
1416, 13070.1, 30, 171446
1340, 13425.1, 30, 540432
1376, 13258.9, 30, 893265
1348, 13403.4, 30, 358785
1368, 13173, 30, 40320
1344, 13617, 30, 919139
1396, 13240.5, 30, 461817
1420, 13302.8, 30, 874499
1400, 13357.6, 30, 102819
1388, 13222.3, 30, 846897
1400, 13504.4, 30, 863420
1404, 13232.8, 30, 253295
