tags_collected, collisions_in_seconds, time_in_minutes, random_seed
616, 34023.7, 30, 723974
608, 33900.3, 30, 50899
548, 35236.3, 30, 861885
572, 34666.7, 30, 678760
608, 34782.5, 30, 42568
660, 34267.7, 30, 796749
636, 34286.4, 30, 687597
616, 34172.5, 30, 749341
632, 34546, 30, 6462
584, 34720.8, 30, 965429
616, 34392.1, 30, 558053
636, 33832.5, 30, 567855
608, 34470, 30, 643214
704, 33791.7, 30, 693468
664, 34502.1, 30, 824078
776, 33621.6, 30, 759872
644, 34246.6, 30, 66545
568, 34999.5, 30, 416885
636, 34198.4, 30, 773381
624, 33014.2, 30, 464526
