tags_collected, collisions_in_seconds, time_in_minutes, random_seed
744, 17737.3, 30, 338695
884, 16982, 30, 442038
844, 17320.3, 30, 279331
928, 17037.3, 30, 674959
916, 16504.1, 30, 538417
876, 17602.6, 30, 530306
780, 17754.2, 30, 22515
752, 17834.3, 30, 541382
868, 17264.3, 30, 38383
808, 17368.1, 30, 928566
800, 17070.1, 30, 62301
872, 16924, 30, 497363
840, 16862.6, 30, 516889
840, 17011.8, 30, 927161
816, 17324.7, 30, 808699
812, 17469, 30, 484461
908, 16896.4, 30, 941934
768, 17727.5, 30, 612057
780, 17527.9, 30, 592309
836, 16963, 30, 76025
