tags_collected, collisions_in_seconds, time_in_minutes, random_seed
52, 106427, 30, 972700
32, 107621, 30, 725677
52, 108237, 30, 965757
48, 110211, 30, 967870
32, 107807, 30, 68262
44, 109666, 30, 49045
48, 107067, 30, 366514
44, 107877, 30, 633276
32, 109985, 30, 70641
52, 109015, 30, 966723
28, 109156, 30, 654418
44, 110942, 30, 579004
40, 108860, 30, 259359
36, 108216, 30, 194222
44, 107984, 30, 940389
48, 106481, 30, 853085
60, 108630, 30, 599838
32, 107222, 30, 250838
40, 107166, 30, 918479
28, 110816, 30, 2365
