tags_collected, collisions_in_seconds, time_in_minutes, random_seed
0, 1615.81, 30, 878420
0, 1684.36, 30, 748766
0, 1616.59, 30, 951462
0, 1578.88, 30, 131027
0, 1591.89, 30, 307328
0, 1629.77, 30, 503870
0, 1590.05, 30, 725085
0, 1583.12, 30, 141419
0, 1567.06, 30, 251780
0, 1526.06, 30, 359635
0, 1612.73, 30, 789514
0, 1573.17, 30, 436573
0, 1606.03, 30, 363260
0, 1581.25, 30, 668776
0, 1682.97, 30, 741044
0, 1593.33, 30, 391519
0, 1607.8, 30, 926301
0, 1525.92, 30, 644548
0, 1547.2, 30, 504453
0, 1660.59, 30, 796779
