tags_collected, collisions_in_seconds, time_in_minutes, random_seed
303, 140500, 30, 246518
293, 140056, 30, 391751
306, 139868, 30, 983395
302, 139929, 30, 246479
310, 140061, 30, 973596
289, 140358, 30, 664962
286, 139696, 30, 757474
292, 139931, 30, 714834
275, 139752, 30, 640465
288, 139985, 30, 251916
307, 139697, 30, 402698
302, 140169, 30, 763099
295, 139717, 30, 366659
295, 139331, 30, 602029
272, 139965, 30, 176412
258, 140614, 30, 799252
281, 140497, 30, 949852
293, 140995, 30, 581541
287, 140206, 30, 26728
272, 141217, 30, 156966
289, 140526, 30, 342703
279, 139972, 30, 806478
301, 140623, 30, 739623
292, 139505, 30, 954036
280, 140226, 30, 200007
255, 140096, 30, 403075
250, 140408, 30, 484452
293, 140822, 30, 600866
264, 140458, 30, 876209
298, 140967, 30, 186199
285, 140872, 30, 555577
269, 140359, 30, 927421
277, 141178, 30, 46831
298, 141380, 30, 642790
280, 140234, 30, 320471
288, 140510, 30, 540636
297, 141678, 30, 94747
288, 140702, 30, 85099
295, 140703, 30, 201789
292, 140948, 30, 691827
303, 140694, 30, 533459
287, 141411, 30, 504287
299, 140807, 30, 336822
288, 140381, 30, 954250
254, 141229, 30, 825069
289, 140929, 30, 185685
293, 141145, 30, 741820
287, 140656, 30, 594173
287, 141299, 30, 335189
274, 141296, 30, 234485
291, 141535, 30, 202695
304, 140907, 30, 53242
294, 140899, 30, 876262
278, 141212, 30, 535729
274, 140757, 30, 619991
267, 140888, 30, 49594
284, 140979, 30, 10807
283, 141197, 30, 495370
266, 141191, 30, 679407
284, 140296, 30, 582765
278, 141819, 30, 156393
281, 141346, 30, 318751
260, 141494, 30, 231037
267, 141351, 30, 129189
303, 141074, 30, 577591
274, 141059, 30, 996348
258, 140583, 30, 248870
294, 141098, 30, 695252
286, 139991, 30, 662071
269, 141315, 30, 728916
303, 141206, 30, 860142
278, 141211, 30, 491044
296, 141114, 30, 783923
292, 141431, 30, 494708
278, 140726, 30, 17760
286, 141481, 30, 20490
302, 141606, 30, 403510
276, 141174, 30, 254771
305, 141224, 30, 379851
290, 141385, 30, 704436
272, 141006, 30, 613325
281, 141179, 30, 530304
253, 141204, 30, 120793
280, 141189, 30, 406506
298, 141320, 30, 482032
280, 141343, 30, 175410
318, 141083, 30, 737802
285, 141305, 30, 458873
277, 141147, 30, 573686
297, 141524, 30, 123049
