tags_collected, collisions_in_seconds, time_in_minutes, random_seed
3448, 19842.1, 30, 52424
3500, 20022.3, 30, 32219
3502, 19935.2, 30, 651672
3562, 19633.8, 30, 448528
3506, 19830.7, 30, 43681
3532, 19450.8, 30, 772303
3550, 19627.2, 30, 109266
3530, 19927.6, 30, 804239
3408, 19749.1, 30, 558314
3454, 20007.6, 30, 564486
3470, 19902.7, 30, 671565
3548, 19646.5, 30, 168848
3554, 19944, 30, 838165
3498, 19778.7, 30, 852168
3452, 19818, 30, 267875
2788, 20329.2, 30, 28206
2588, 20168.2, 30, 954433
2624, 20586.8, 30, 701754
2760, 20544.3, 30, 691669
2686, 20460.1, 30, 313798
2672, 21100.4, 30, 74073
2748, 20724.3, 30, 570458
2730, 20893, 30, 988191
2770, 20902.9, 30, 98166
2728, 20573.2, 30, 693444
2764, 20510.7, 30, 503741
2596, 20753.4, 30, 348567
2694, 20637.3, 30, 615865
2694, 20648.8, 30, 534868
2700, 20738.8, 30, 278268
2048, 20940.8, 30, 557272
2208, 20577.2, 30, 968441
2132, 20506.2, 30, 263173
2066, 20880.2, 30, 201966
1950, 19569.7, 30, 492149
2144, 20804.7, 30, 547208
2080, 20967.7, 30, 806194
2122, 20468.8, 30, 30587
2176, 20562.5, 30, 772234
2158, 20705.5, 30, 314451
2064, 20215.2, 30, 387696
2064, 19897.5, 30, 427333
2192, 20606.5, 30, 483608
2022, 20310.6, 30, 272326
2164, 20052.5, 30, 282069
1362, 20018.1, 30, 714522
1508, 19430.8, 30, 476767
1572, 19780.4, 30, 379336
1478, 18799.8, 30, 296854
1436, 19527, 30, 848116
1578, 19304.9, 30, 200615
1502, 20944.8, 30, 900254
1522, 21193.2, 30, 426469
1394, 18625.2, 30, 707723
1662, 20201.5, 30, 723929
1584, 19719.5, 30, 828381
1604, 19445, 30, 358171
1466, 19058.8, 30, 811425
1402, 17642.8, 30, 114696
1552, 19859.5, 30, 484657
936, 19213.7, 30, 77739
1168, 19543.1, 30, 479498
912, 17739.1, 30, 696125
844, 16709.1, 30, 403522
988, 18018.6, 30, 749037
884, 16629.1, 30, 597719
970, 20029.1, 30, 515142
916, 18518.9, 30, 703662
938, 18849, 30, 639536
1010, 17502.8, 30, 488709
1158, 17629.3, 30, 570438
960, 18981.7, 30, 122827
1094, 18206.4, 30, 721181
950, 18903.1, 30, 804442
820, 17850.4, 30, 272821
618, 17074.8, 30, 192392
766, 15170.7, 30, 55345
712, 17809.1, 30, 374915
742, 18415.4, 30, 892626
688, 17098.4, 30, 524422
698, 16095.1, 30, 397105
678, 15652.6, 30, 106528
614, 15588.4, 30, 311584
604, 17270.4, 30, 708318
798, 17344.8, 30, 276319
796, 18140, 30, 43153
748, 15466.5, 30, 76727
728, 16883.8, 30, 491257
752, 16023.2, 30, 692512
640, 15656.5, 30, 256836
