tags_collected, collisions_in_seconds, time_in_minutes, random_seed
3328, 21313.3, 30, 581450
3584, 21457.7, 30, 80624
3200, 21430.3, 30, 666780
3328, 21840.6, 30, 839608
3072, 21195.6, 30, 574567
3328, 21261.8, 30, 938391
3328, 21467.3, 30, 707637
3328, 21589.8, 30, 197198
3200, 21545.5, 30, 893116
3328, 21824.2, 30, 791401
3328, 21651, 30, 399926
3328, 21451.8, 30, 47245
3200, 21527.2, 30, 591330
3328, 21370.3, 30, 664124
3456, 21472.5, 30, 171457
2432, 22104.2, 30, 176795
2560, 22015.1, 30, 20549
2560, 22199.8, 30, 26649
2432, 21958.8, 30, 179165
2560, 21944.6, 30, 712593
2560, 22172.9, 30, 625567
2560, 22333.1, 30, 742346
2560, 22165.3, 30, 970186
2560, 22123, 30, 850225
2560, 22161.7, 30, 180738
2560, 22372, 30, 352826
2432, 22260.2, 30, 377214
2560, 22234.8, 30, 37956
2560, 22196.5, 30, 21578
2560, 22289.4, 30, 730923
1920, 22549.2, 30, 292583
1792, 21711.5, 30, 805926
2048, 22386.8, 30, 959331
2048, 21968, 30, 340929
1920, 22042.8, 30, 702307
1920, 22312.4, 30, 221721
2048, 21998.7, 30, 567014
1920, 22130, 30, 805524
2048, 22019.3, 30, 272965
2048, 22491.8, 30, 671412
1920, 22848.9, 30, 208225
1792, 22782.3, 30, 274766
2048, 21914.8, 30, 835269
1920, 21591.8, 30, 687649
1920, 22335.2, 30, 574612
1408, 20633.1, 30, 474984
1280, 21811, 30, 187343
1408, 22376.1, 30, 345872
1408, 21685, 30, 416335
1408, 21789.8, 30, 191804
1152, 21186.4, 30, 560326
1152, 21518.9, 30, 26342
1536, 20690.2, 30, 956169
1280, 21648.2, 30, 32695
1152, 21282.9, 30, 581143
1280, 21801.4, 30, 480609
1280, 21784.8, 30, 238853
1536, 21778.4, 30, 456085
1024, 21289.3, 30, 437240
1152, 21699.4, 30, 387211
768, 20820.6, 30, 214261
896, 21991.1, 30, 570468
1024, 19965.5, 30, 116444
768, 19665.2, 30, 794604
768, 20395.9, 30, 394209
1024, 21965.7, 30, 366241
896, 20323.5, 30, 891595
640, 18257.4, 30, 633001
896, 20245.3, 30, 180635
768, 19208.8, 30, 854172
1024, 20654.6, 30, 977145
896, 19545.6, 30, 999547
768, 20342.2, 30, 756206
1024, 20828.3, 30, 578547
896, 20287.7, 30, 260779
512, 18423.4, 30, 446041
512, 20204, 30, 410015
512, 18085.2, 30, 963875
512, 18578.9, 30, 137096
512, 17361.4, 30, 824569
768, 19899.2, 30, 484757
512, 18592.1, 30, 256689
512, 18622.7, 30, 659997
512, 18688.9, 30, 817995
512, 18731.6, 30, 543080
512, 19895.2, 30, 963206
512, 19724.2, 30, 865695
512, 18758, 30, 614681
512, 18465.4, 30, 12644
512, 18897.4, 30, 94417
