tags_collected, collisions_in_seconds, time_in_minutes, random_seed
3633, 15860.6, 30, 956887
3534, 16621.5, 30, 41606
3641, 16456.9, 30, 472791
3568, 16096.5, 30, 799290
3629, 16825.9, 30, 801410
3376, 16350.4, 30, 763826
3476, 16405.6, 30, 781236
3682, 16784.8, 30, 454141
3769, 16242.6, 30, 439416
3522, 15788.6, 30, 476191
3442, 16524.9, 30, 539937
3611, 16538.5, 30, 177305
3456, 16877.4, 30, 156594
3510, 17017.2, 30, 542830
3458, 16737.1, 30, 611168
2552, 15900.5, 30, 617224
2569, 15279.2, 30, 72549
2794, 15640.9, 30, 632036
2555, 16002.6, 30, 52462
2738, 16461.7, 30, 92456
2576, 14950.5, 30, 511884
2467, 15755.2, 30, 686814
2727, 15763, 30, 814630
2805, 15718.7, 30, 933552
2762, 15988, 30, 958764
2551, 15773.8, 30, 427288
2782, 15715.3, 30, 705480
2666, 16298.3, 30, 308939
2754, 15863.4, 30, 630419
2846, 15963.8, 30, 779145
2101, 15402.1, 30, 863706
1945, 15928.7, 30, 121510
2111, 15209.2, 30, 914126
2134, 15950.7, 30, 634786
2308, 14932.9, 30, 816434
1982, 16072.2, 30, 502537
2307, 15657.2, 30, 617308
2223, 15719.9, 30, 393288
2263, 16307.2, 30, 141889
2270, 15459, 30, 936060
2130, 14819.6, 30, 770445
2098, 14713.3, 30, 503646
2111, 15296.6, 30, 665258
2188, 15751.2, 30, 770183
1966, 15775, 30, 196907
1421, 15527.3, 30, 876938
1511, 15590, 30, 713101
1490, 15763, 30, 886125
1414, 15819.7, 30, 949043
1488, 13983.2, 30, 735072
1629, 16526.8, 30, 410464
1659, 15205.1, 30, 95467
1514, 15340.9, 30, 990069
1455, 15771.4, 30, 103425
1470, 14543.8, 30, 248335
1454, 14765.3, 30, 314098
1400, 15491.7, 30, 343735
1203, 14733.9, 30, 942501
1340, 14929.5, 30, 545440
1344, 14299.8, 30, 429232
893, 14874.3, 30, 303927
1009, 15440.4, 30, 953013
913, 16025.1, 30, 640094
747, 15235.1, 30, 407530
794, 17137.8, 30, 65323
802, 15309.2, 30, 871848
935, 14711.1, 30, 371771
1138, 16152.2, 30, 503851
1002, 15257.9, 30, 644018
767, 15468.7, 30, 66709
959, 15816.9, 30, 801046
1003, 15354.9, 30, 552613
768, 15108.4, 30, 175787
875, 15361.5, 30, 71513
654, 14685.6, 30, 174959
451, 15547.9, 30, 545397
427, 14920.3, 30, 122617
664, 15761, 30, 161408
441, 16043.1, 30, 963535
426, 15857.3, 30, 697911
457, 15851.9, 30, 633799
458, 15583.3, 30, 182985
347, 15817.1, 30, 632325
445, 14783.9, 30, 330927
478, 14508.3, 30, 795273
573, 14841.6, 30, 941189
563, 14080.4, 30, 415858
486, 15558.3, 30, 544034
619, 15507.4, 30, 815467
715, 14411.7, 30, 377076
