tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 526.281, 25.5979, 618348
338, 621.375, 26.7849, 303966
338, 600.453, 25.8172, 652997
338, 580.266, 28.3188, 530936
338, 484.641, 27.5047, 192893
338, 593.75, 26.3911, 343470
338, 636.047, 23.2052, 162880
338, 540.219, 24.0052, 105066
338, 563.75, 28.9896, 439714
338, 690.25, 27.3141, 24138
338, 494.125, 25.4568, 104304
338, 609.297, 24.8474, 911662
338, 621.188, 26.5557, 483969
338, 528.359, 25.6495, 564584
338, 628.234, 27.0172, 382077
338, 548.375, 27.4042, 588075
338, 423.797, 23.6693, 724498
338, 521.422, 24.3214, 101590
338, 418.297, 24.874, 180882
338, 406.422, 26.9047, 902632
338, 609.875, 23.4922, 414024
338, 442.547, 21.0984, 28396
338, 556.297, 26.3068, 94867
338, 448.625, 22.0193, 962210
338, 571.219, 26.9583, 425566
338, 387.531, 23.6922, 324785
338, 494.062, 24.0781, 621631
338, 640.25, 26.1516, 103612
338, 436.469, 25.7943, 702398
338, 553.469, 25.55, 268560
338, 551.406, 28.2104, 160126
338, 659.016, 25.8687, 541115
338, 511.281, 25.8729, 72589
338, 523.656, 26.7818, 432430
338, 471.578, 25.8958, 442004
338, 565.859, 24.5365, 406816
338, 690.234, 29.3807, 216344
338, 541.766, 24.0057, 370472
338, 527.672, 24.7302, 870635
338, 516.359, 30.4312, 176821
338, 433.578, 24.6708, 137768
338, 593.438, 26.6557, 665427
338, 576.344, 27.3109, 623010
338, 647.047, 27.6521, 237829
338, 518.25, 22.7115, 101789
338, 615.25, 25.1714, 356346
338, 560.328, 26.4443, 356862
338, 510.969, 24.8172, 482469
338, 549.938, 25.1562, 572884
338, 507.734, 27.1927, 692762
338, 471.359, 23.7609, 130944
338, 573.547, 25.6234, 411118
338, 513.844, 23.5099, 273425
338, 489.094, 25.1854, 637374
338, 857.75, 25.9531, 476258
338, 534.672, 26.2172, 103125
338, 740.5, 25.588, 414408
338, 593.75, 24.4224, 526031
338, 635.156, 25.6615, 26257
338, 586.109, 25.374, 878331
338, 694.844, 27.288, 440102
338, 511.109, 26.6042, 420109
338, 482.422, 22.8438, 978272
338, 678.406, 25.9859, 630317
338, 641.766, 24.0214, 942367
338, 544.094, 24.1854, 283906
338, 597.156, 27.2651, 682756
338, 716.719, 26.1422, 733250
338, 581.844, 28.4349, 499667
338, 548.938, 27.225, 929807
338, 474.688, 23.1552, 152561
338, 439, 26.7688, 567690
338, 538.906, 27.8266, 487939
338, 728.406, 28.9, 894546
338, 685.781, 22.424, 542234
338, 585.844, 28.4146, 891138
338, 801.203, 30.2021, 68393
338, 534.375, 22.0099, 906998
338, 549.641, 25.9016, 828005
338, 434.906, 26.6349, 104683
338, 603.078, 25.8302, 881499
338, 673.031, 26.7885, 901523
338, 579.359, 26.2823, 387115
338, 546.562, 24.0458, 263752
338, 569.688, 25.5943, 465433
338, 514.328, 26.7969, 224514
338, 529.656, 24.1865, 786610
338, 537.859, 24.663, 401601
338, 697.875, 26.263, 589118
338, 428.672, 25.5844, 87616
338, 604.516, 28.1474, 85035
338, 505.547, 26.0432, 725277
338, 639.734, 27.6953, 253014
338, 581.281, 28.3344, 411009
338, 505, 26.8385, 469147
338, 555.891, 26.3219, 397293
338, 567.797, 25.1198, 529013
338, 665.344, 27.1172, 144372
338, 746.062, 25.7797, 28505
338, 576.312, 23.5724, 872666
