tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 273.234, 11.1943, 802203
338, 310.188, 13.2312, 459726
338, 296.953, 15.8187, 608294
338, 346.953, 17.3229, 810186
338, 355.109, 13.3714, 421529
338, 337.016, 14.4182, 513456
338, 443.047, 15.0656, 700581
338, 350.141, 15.5917, 330536
338, 271.391, 12.301, 563364
338, 356.812, 16.3161, 777351
338, 254.703, 13.0448, 359412
338, 366.125, 15.5802, 769748
338, 432.234, 18.8531, 8874
338, 427.781, 14.5505, 754950
338, 417.203, 14.6042, 385202
338, 347.266, 16.1823, 642849
338, 302.875, 13.0062, 883516
338, 343.641, 14.9911, 205525
338, 344.625, 14.8516, 752799
338, 334.391, 16.6365, 233520
338, 308.344, 14.3599, 40559
338, 262.953, 13.4943, 890039
338, 368.688, 15.3292, 907092
338, 384.344, 16.3229, 797493
338, 253.812, 14.4719, 487755
338, 377.828, 11.5354, 209663
338, 334.219, 18.4906, 447896
338, 400.109, 14.5698, 752117
338, 317.984, 13.9448, 220820
338, 313.797, 12.3271, 867918
338, 429.156, 14.7453, 635025
338, 287.281, 13.7271, 318379
338, 344.438, 17.8745, 523044
338, 314.797, 13.7359, 717487
338, 279.031, 13.0276, 849738
338, 408.562, 15.7682, 59125
338, 425.219, 15.3276, 538531
338, 360.391, 15.9333, 846004
338, 302.797, 12.7479, 174207
338, 295.828, 14.5188, 796044
338, 351.188, 13.1495, 856911
338, 350.938, 16.876, 266940
338, 283.516, 15.3677, 966075
338, 299.609, 14.012, 536712
338, 327.578, 13.799, 430497
338, 304.906, 11.9099, 370397
338, 391.719, 16.7391, 263970
338, 375.516, 17.7068, 642116
338, 444.141, 18.0854, 318649
338, 341.812, 15.4885, 151156
338, 325.078, 15.6182, 362694
338, 391.297, 16.8391, 107367
338, 342.828, 13.026, 415565
338, 365.266, 16.025, 703461
338, 331.484, 13.4734, 131952
338, 377.578, 14.9068, 657500
338, 360.312, 16.675, 764933
338, 337.422, 13.8276, 343612
338, 383, 16.5391, 586041
338, 241.609, 13.7385, 238863
338, 323.562, 13.4089, 466171
338, 355.125, 15.6375, 773608
338, 276.578, 13.0411, 696507
338, 414.406, 15.7797, 366911
338, 339.609, 14.8089, 632340
338, 318.938, 17.7271, 948999
338, 350.344, 15.6724, 763700
338, 354.453, 13.1682, 587997
338, 403.453, 17.6979, 665895
338, 315.922, 14.5318, 702891
338, 278.25, 13.3531, 19251
338, 252.406, 13.9776, 333094
338, 336.094, 14.7583, 961820
338, 384.328, 16.8109, 957021
338, 304.484, 15.3276, 348664
338, 371.141, 16.4292, 880363
338, 344.578, 13.1042, 95397
338, 269.812, 14.113, 561278
338, 314.719, 12.0729, 276780
338, 380.203, 13.4854, 788109
338, 354.609, 16.1948, 33580
338, 296.891, 13.8854, 266429
338, 340.469, 14.9453, 571664
338, 300.031, 16.7875, 463303
338, 287.406, 11.7089, 696548
338, 315.719, 12.799, 71969
338, 404.203, 15.612, 298074
338, 311.266, 14.6255, 10375
338, 348.438, 12.388, 89297
338, 279.984, 12.9187, 546296
338, 335.516, 13.1276, 730605
338, 297.375, 17.3339, 248722
338, 364.75, 16.499, 587430
338, 376.984, 14.5349, 975607
338, 403.453, 19.6651, 975568
338, 348.953, 16.5365, 691024
338, 276.203, 11.8365, 799492
338, 396.906, 16.8021, 589719
338, 318.938, 14.8734, 410039
338, 401.828, 16.5875, 257480
