tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 278.078, 15.1578, 503393
338, 223.562, 13.1964, 78988
338, 302.125, 17.126, 491044
338, 379.75, 19.0094, 982722
338, 304.5, 14.5052, 285077
338, 275.797, 14.8781, 569847
338, 256.938, 15.4844, 237557
338, 391.312, 16.5354, 76890
338, 207.141, 12.2396, 563055
338, 253.016, 15.3812, 658882
338, 282.25, 14.1745, 611286
338, 252.656, 13.0859, 551554
338, 218.203, 13.362, 643338
338, 267.062, 13.3333, 286726
338, 214.406, 13.7411, 966089
338, 304.297, 16.8375, 153460
338, 254.953, 14.824, 861889
338, 288.375, 15.7063, 847138
338, 345.484, 15.9271, 314211
338, 287.719, 16.4073, 741835
338, 294.172, 14.1036, 430632
338, 302.672, 16.8818, 50425
338, 311.422, 14.9786, 13437
338, 318.656, 15.9969, 160338
338, 335.688, 17.0234, 494911
338, 365.906, 16.6474, 736620
338, 386.328, 18.0396, 95405
338, 284.453, 15.3521, 960617
338, 323.281, 15.6005, 379722
338, 321.156, 15.9276, 35390
338, 300.719, 13.6906, 732673
338, 280.375, 15.8995, 865041
338, 255.578, 14.7089, 409894
338, 279.062, 14.549, 39154
338, 358.094, 14.6375, 350170
338, 275.188, 14.8766, 794248
338, 310.297, 18.7349, 501119
338, 307.062, 15.9901, 487146
338, 296.969, 14.1776, 48174
338, 273.781, 13.3573, 849118
338, 256.469, 12.5958, 415230
338, 325.219, 14.9234, 983960
338, 270, 11.9651, 846933
338, 299.938, 14.8214, 223035
338, 340.312, 17.2427, 12848
338, 309.25, 13.8453, 711336
338, 307.781, 15.2172, 40377
338, 263.016, 14.4943, 336341
338, 315.875, 15.2474, 528806
338, 234.656, 15.5042, 940303
338, 258.125, 12.1542, 454173
338, 309.75, 15.3646, 299390
338, 283.297, 16.1635, 834036
338, 218.703, 12.5651, 737163
338, 269.219, 13.8646, 349432
338, 224.188, 13.2344, 579547
338, 317.281, 14.4297, 916864
338, 270.25, 15.0339, 227032
338, 288.859, 17.0323, 487038
338, 273.406, 16.3698, 642619
338, 335.938, 13.599, 10678
338, 335.438, 17.1901, 893034
338, 298.312, 15.2135, 8662
338, 346.109, 14.6964, 544231
338, 330.219, 15.4172, 150395
338, 257.578, 12.4042, 830888
338, 321.75, 16.4021, 114279
338, 256.359, 13.8089, 403557
338, 291.234, 14.5411, 667659
338, 301.797, 16.5964, 199992
338, 281.062, 15.8224, 764347
338, 395.078, 16.012, 777946
338, 191.969, 14.0078, 48524
338, 392.797, 16.1453, 622936
338, 290.609, 14.274, 336396
338, 356.844, 13.8328, 237670
338, 334.109, 15.2651, 439140
338, 286.422, 13.6344, 702894
338, 267.656, 14.2229, 826406
338, 261.25, 14.9526, 866630
338, 243.578, 14.2328, 926098
338, 327.656, 15.8604, 28877
338, 360.078, 16.0646, 335307
338, 335.75, 13.4229, 699237
338, 385.703, 16.7641, 244861
338, 312.5, 15.3672, 39539
338, 240.656, 14.7094, 674269
338, 251.375, 15.2859, 379053
338, 332.672, 14.337, 150207
338, 283.281, 15.2234, 12120
338, 206.344, 13.8891, 517770
338, 283.266, 13.8474, 902938
338, 292.344, 15.126, 238294
338, 230.438, 16.2911, 388271
338, 305.844, 13.9812, 585202
338, 296.344, 15.0813, 162617
338, 299.375, 15.6906, 310046
338, 320.344, 16.1776, 469442
338, 308.047, 15.5094, 239642
338, 264.562, 17.3922, 875172
