tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 345.094, 16.1693, 139830
338, 320, 13.7786, 799634
339, 306.234, 13.0682, 14792
338, 268.078, 16.1646, 244676
338, 284.703, 12.5417, 920551
338, 300.516, 14.1589, 475795
338, 260.25, 14.0563, 350804
338, 367.406, 15.3536, 103091
338, 290.234, 13.0089, 119177
338, 320.906, 17.2281, 296557
338, 220.703, 13.4688, 572834
338, 246.391, 16.7333, 849456
338, 243.609, 15.7802, 882642
338, 300.812, 14.288, 984497
338, 241.297, 13.2854, 442218
338, 341.516, 16.5911, 260539
338, 324.297, 14.9281, 613430
338, 306.344, 15.3562, 252432
338, 301.219, 13.0844, 171624
338, 259.125, 17.1599, 467346
338, 269.094, 13.9464, 610657
338, 269.125, 13.3578, 490438
338, 252.812, 14.4484, 785709
338, 286.859, 13.8, 458645
338, 364.422, 14.449, 701647
338, 261.047, 14.9396, 36040
338, 245.594, 13.4792, 332942
338, 199.203, 13.0339, 547230
338, 342.047, 15.6828, 815844
338, 280.906, 12.1781, 353414
338, 369.344, 15.3161, 382684
338, 206.234, 13.0297, 4244
338, 275.422, 13.7307, 112053
338, 292.359, 16.0802, 835889
338, 291.625, 13.5687, 611
338, 259.141, 12.5547, 260234
338, 285.344, 12.2312, 90518
338, 334.703, 14.0328, 489250
338, 322.891, 14.688, 606497
338, 264.406, 14.6109, 624585
338, 301.469, 15.4964, 343157
338, 269.188, 14.726, 913394
338, 371.906, 15.1375, 498182
338, 322.141, 16.0828, 794581
338, 249.797, 16.2792, 249904
338, 232.141, 9.75208, 182379
338, 248.656, 13.4938, 676880
338, 293.406, 14.3057, 212207
338, 325.562, 12.5932, 697548
338, 254.203, 12.8641, 675718
338, 302.094, 13.4938, 481629
338, 276.172, 13.9073, 741599
338, 284.656, 18.2406, 474324
338, 321.031, 13.8885, 517871
338, 310.406, 17.0995, 62011
338, 360.172, 17.0854, 513812
338, 272.156, 12.8474, 615190
338, 312.016, 14.324, 397990
338, 258.266, 15.2479, 900822
338, 314.891, 15.3005, 365285
338, 281.266, 13.9313, 325537
338, 336.688, 14.7682, 957351
338, 276.531, 13.1568, 657874
338, 306.516, 17.8193, 868020
338, 291.938, 17.8495, 311836
338, 298.172, 14.138, 494001
338, 311.094, 14.6229, 906565
338, 320.266, 14.7651, 694743
338, 266.234, 12.787, 944549
338, 277.844, 13.4141, 953105
338, 355.484, 14.8703, 243464
338, 316.438, 12.6672, 202558
338, 253.828, 12.2328, 141736
338, 306.781, 17.1313, 133943
338, 277.125, 14.6057, 828322
338, 268.266, 13.8927, 938056
338, 276.797, 14.6245, 7836
338, 273.609, 14.7698, 807670
338, 254.141, 15.4411, 931852
338, 274.672, 12.0208, 795304
338, 320.016, 12.913, 598775
338, 301.734, 13.6099, 15890
338, 365.5, 18.626, 251587
338, 188.234, 10.3068, 150601
338, 268.828, 13.725, 287842
338, 271.406, 13.3339, 939462
339, 342.219, 16.0557, 749664
338, 274.281, 14.874, 81207
338, 245.031, 14.699, 732120
338, 279, 13.8755, 231939
338, 320.438, 15.026, 815919
338, 314.734, 16.6682, 39095
338, 239.062, 12.2005, 218297
338, 319.156, 14.1036, 769954
338, 270.781, 14.8161, 92641
338, 266.047, 16.5719, 81900
338, 219.578, 15.2167, 219891
338, 292.562, 12.9755, 775654
338, 258.938, 12.6896, 784494
338, 261.703, 14.7724, 311961
