tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 363.141, 19.1281, 540860
338, 348.391, 20.9531, 270465
338, 341.438, 22.537, 249435
338, 283.859, 19.2255, 407350
338, 330.109, 17.6313, 541048
338, 261.984, 18.0026, 847102
338, 380.219, 21.9495, 810812
338, 243.953, 18.4792, 932082
338, 276.094, 17.4448, 215751
338, 309.062, 19.1859, 662356
338, 318.594, 20.7005, 669486
338, 223.344, 15.5104, 125485
338, 331.438, 20.8953, 751514
338, 311.141, 19.5901, 735386
338, 351.25, 20.4328, 979984
338, 325.953, 21.6276, 490995
338, 305.078, 19.5281, 139506
338, 316.922, 20.5495, 921138
338, 268.547, 20.2917, 292857
338, 354.156, 18.15, 518997
338, 284.578, 18.8802, 940281
338, 264.469, 18.2651, 412473
338, 400.25, 18.9974, 323901
338, 419.156, 20.1922, 91323
338, 244.484, 18.7854, 913383
338, 254.75, 18.4979, 33193
338, 419.781, 20.5422, 815839
338, 335.25, 20.6677, 249181
338, 247.844, 16.9812, 619302
338, 287.906, 17.3167, 383578
338, 294.75, 21.7953, 549512
338, 313.5, 16.7344, 468232
338, 340.25, 21.0776, 206099
338, 348.562, 23.775, 252897
338, 351, 20.8964, 369154
338, 306.078, 18.324, 449263
338, 293.484, 21.0557, 745563
338, 301.484, 19.2911, 579896
338, 340.312, 21.6974, 783586
338, 293.266, 19.7661, 7568
338, 348.281, 22.8411, 935074
338, 287.031, 18.1375, 548900
338, 303.719, 20.3271, 241389
338, 328.25, 22.0089, 129146
338, 294.625, 16.9688, 317267
338, 229.438, 17.101, 596919
338, 252.828, 19.5464, 178421
338, 285.984, 20.6453, 126644
338, 270.703, 22.6078, 998563
338, 313.203, 20.0724, 42726
338, 268.828, 16.6719, 424684
338, 281.484, 17.5432, 709695
338, 288.875, 18.0823, 353497
338, 276.234, 18.0182, 185232
338, 290.875, 20.7063, 857161
338, 354.109, 20.0422, 647732
338, 250.859, 19.2188, 737667
338, 334.734, 19.1484, 15692
338, 311.766, 19.9708, 292974
338, 261.141, 17.5745, 185176
338, 365.234, 23.3995, 768664
338, 246.047, 15.7349, 305461
338, 317.281, 18.887, 514203
338, 310.25, 19.1375, 278293
338, 273.062, 19.625, 467662
338, 274.953, 20.8266, 146403
338, 273, 17.9521, 81339
338, 258.891, 18.5734, 46421
338, 269.578, 15.6734, 935763
338, 231.266, 15.7698, 569873
338, 279.922, 18.1432, 996371
338, 295.281, 18.0255, 55788
338, 324.641, 18.6068, 797779
338, 323.688, 18.4427, 394326
338, 336.25, 20.7391, 996258
338, 252.375, 18.025, 239817
338, 358.359, 24.4417, 135211
338, 253.797, 18.7005, 637415
338, 319.047, 21.6677, 453151
338, 382.734, 20.8328, 180476
338, 248.219, 18.124, 208803
338, 349, 19.6078, 916128
338, 310.078, 19.9266, 150862
338, 239.438, 17.3073, 348258
338, 312.156, 18.0672, 44713
338, 226.172, 17.8896, 268949
338, 327.141, 17.2703, 409824
338, 309.766, 21.5026, 10524
338, 259.297, 18.9359, 351541
338, 281.453, 19.1927, 378738
338, 341.562, 20.2583, 672599
338, 294.922, 19.5953, 902062
338, 295.484, 16.4104, 38329
338, 270.062, 16.9286, 167443
338, 309.484, 19.6776, 233815
338, 283.281, 19.2281, 132776
338, 351.812, 21.8365, 153474
338, 337.109, 20.0385, 622700
338, 305.953, 18.3885, 20914
338, 383.328, 21.8, 898086
