tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 263.891, 26.5724, 674921
338, 408.594, 31.4464, 790407
338, 253.641, 28.0995, 847992
338, 335.047, 25.9135, 861366
338, 370.188, 28.1083, 989943
338, 300.156, 29.7568, 520409
338, 252.344, 25.7917, 484634
338, 250.016, 25.7135, 816080
338, 469.656, 27.9896, 331829
338, 252.891, 26.8635, 193061
338, 271.719, 27.299, 662438
338, 280.859, 27.5693, 498301
338, 481.25, 30.0932, 248137
338, 341.125, 29.0276, 167719
338, 262.781, 27.8307, 106143
338, 309.359, 29.0849, 562535
338, 368.297, 27.9828, 818193
338, 260.953, 25.1078, 26596
338, 343.844, 28.4797, 712486
338, 341.906, 30.7047, 88282
338, 352.469, 31.4734, 355509
338, 313.578, 27.1302, 491287
338, 308.344, 26.5063, 669813
338, 260, 27.7484, 469894
338, 287.938, 28.0151, 61414
338, 334.922, 26.9057, 779469
338, 320.953, 28.1891, 838956
338, 254.266, 27.4156, 480900
338, 250.234, 28.2557, 325928
338, 262.891, 28.0521, 241161
338, 308.953, 28.9661, 894792
338, 286.062, 29.3464, 539965
338, 298.469, 26.1401, 686901
338, 225.562, 28.0505, 131298
338, 203.266, 25.7214, 474250
338, 287.672, 28.4062, 172764
338, 220.391, 26.138, 617544
338, 287, 26.3094, 669699
338, 374.516, 28.8552, 989036
338, 302.062, 29.0005, 736058
338, 374.656, 29.5396, 7678
338, 357.281, 27.0208, 896625
338, 278.781, 27.2042, 547885
338, 264.422, 27.8219, 683114
338, 266.531, 27.1438, 468303
338, 253.625, 29.7786, 172969
338, 310.094, 27.4917, 141767
338, 285.078, 29.4057, 807232
338, 283.672, 28.675, 450620
338, 301.016, 27.274, 70152
338, 330.266, 27.7089, 32536
338, 271.766, 26.576, 135324
338, 300.906, 29.6432, 121637
338, 269.422, 28.2479, 956560
338, 349.094, 28.3885, 768035
338, 328.844, 28.3234, 813972
338, 234.375, 28.9688, 11366
338, 272.938, 26.2115, 135889
338, 233.812, 29.0583, 750
338, 253.297, 26.4688, 353347
338, 285.469, 26.5724, 878569
338, 268.922, 29.3448, 222141
338, 272.156, 26.587, 326881
338, 322.438, 30.2312, 974148
338, 255.281, 25.2422, 243922
338, 319.891, 28.9396, 340456
338, 386.531, 31.0745, 25639
338, 291.562, 28.9625, 200906
338, 273.516, 28.862, 408534
338, 346.969, 29.9865, 976968
338, 269.672, 28.6604, 885723
338, 286.125, 29.2677, 401213
338, 273.203, 27.3333, 201393
338, 300.359, 26.1932, 208675
338, 439.953, 28.4833, 70551
338, 311.812, 27.5385, 453145
338, 247.922, 26.4797, 341704
338, 289.781, 29.1396, 334348
338, 315.188, 27.5292, 964203
338, 366.047, 30.7531, 679964
338, 287.953, 26.8729, 541210
338, 262.766, 28.5026, 476022
338, 347.625, 27.2042, 503669
338, 314.031, 26.9203, 464066
338, 383.578, 27.701, 131360
338, 311.875, 29.1359, 872047
338, 268.625, 27.1021, 953770
338, 301.391, 27.4667, 699408
338, 295.672, 27.9859, 192631
338, 303.281, 28.1802, 407079
338, 263.625, 28.1583, 822078
338, 274.875, 28.1901, 329439
338, 292.859, 29.174, 432327
338, 343.484, 26.937, 846616
338, 286.594, 27.8609, 379232
338, 251.031, 27.1042, 723248
338, 254.812, 28.2047, 458330
338, 327.266, 27.3719, 520052
338, 296.234, 27.3547, 371035
338, 312.391, 29.4891, 179104
