tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 225.344, 16.263, 444789
338, 173.031, 14.4214, 408968
338, 233.578, 16.0047, 617304
338, 176.688, 14.7536, 225206
338, 198.469, 15.6339, 902321
338, 242.109, 15.7312, 96774
338, 210.016, 15.4839, 16040
338, 198.547, 16.6854, 864807
338, 241.422, 16.612, 707768
338, 182.078, 16.9865, 606029
338, 219.578, 15.7536, 97489
338, 221.719, 16.9807, 984878
338, 199.875, 15.4911, 606851
338, 230.766, 16.1776, 173286
338, 200.484, 16.1703, 501887
338, 207.469, 15.3052, 145503
338, 220.984, 15.6781, 103596
338, 172.953, 15.7078, 745491
338, 241.609, 15.2906, 405489
338, 211.484, 15.6583, 226298
338, 209.188, 17.2411, 686355
338, 245.844, 16.0839, 446818
338, 220.844, 15.6562, 117473
338, 186.203, 16.0323, 304252
338, 192.266, 15.9302, 567615
338, 219.891, 16.1875, 721133
338, 188.641, 15.8948, 227048
338, 302.094, 17.4208, 471861
338, 175.141, 14.0245, 783282
338, 201, 15.8318, 83541
338, 203.547, 15.7688, 879065
338, 186.453, 15.6568, 937660
338, 252.656, 15.974, 734584
338, 212.094, 15.474, 868602
338, 199.109, 14.9573, 205264
338, 237.719, 16.8089, 846847
338, 199.5, 15.9563, 262619
338, 172.141, 15.5365, 454731
338, 204.984, 14.9766, 914494
338, 214.969, 15.3583, 463998
338, 223.703, 15.6068, 656346
338, 216.219, 15.2771, 385159
338, 194.438, 15.6604, 570435
338, 212.516, 16.8719, 158680
338, 221.734, 16.8224, 891810
338, 175.688, 16.3938, 283659
338, 270.219, 16.5214, 145151
338, 237.219, 16.475, 981873
338, 231.359, 16.0693, 135321
338, 217.812, 15.9974, 270879
