tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 131.141, 23.4224, 291433
338, 177.203, 30.6146, 987638
338, 167.25, 27.9328, 157698
338, 163.047, 26.0677, 616606
338, 160.688, 24.4922, 549388
338, 148.188, 24.8521, 512101
338, 164.016, 24.2453, 66990
338, 152.984, 27.4026, 721124
338, 149.906, 25.1453, 67261
338, 158.484, 27.3427, 739781
338, 167.453, 28.5833, 351248
338, 143.297, 25.3068, 628553
338, 179.422, 30.737, 406143
338, 157.234, 25.4245, 263793
338, 161.938, 25.5734, 596027
338, 164.328, 26.8391, 698658
338, 189.953, 28.4005, 717919
338, 165.5, 24.9198, 212179
338, 190.062, 27.5312, 531241
338, 154.609, 27.6083, 9207
338, 128.406, 24.7891, 977975
338, 174, 27.2922, 685125
338, 180.297, 25.6219, 334880
338, 162.062, 27.7948, 355973
338, 181.812, 28.5714, 317171
338, 153.406, 24.2573, 6532
338, 163.812, 25.0318, 582167
338, 142.797, 27.1089, 356225
338, 168.297, 28.1182, 692356
338, 184.344, 26.137, 576252
338, 149.109, 25.3422, 773641
338, 140.734, 24.2833, 683544
338, 161.359, 24.5958, 915471
338, 179.234, 26.4615, 709230
338, 181.281, 26.7714, 703067
338, 160.906, 26.9, 985015
338, 154.516, 25.4641, 564346
338, 169.062, 27.6562, 355536
338, 176.203, 30.3604, 573615
338, 163.016, 26.9542, 766639
338, 174.844, 26.4151, 847963
338, 180.109, 28.1, 434256
338, 158.312, 23.551, 537822
338, 174.016, 27.6271, 28579
338, 170.25, 27.6365, 775790
338, 154.516, 24.0411, 188366
338, 167.812, 24.9688, 736683
338, 178.609, 24.0875, 562704
338, 185.125, 24.2052, 840656
338, 205.109, 26.2031, 830808
338, 171.844, 22.7672, 696284
338, 180.797, 26.8464, 861935
338, 160.453, 26.3214, 939488
338, 154.516, 27.7521, 14114
338, 153.078, 24.4193, 822902
338, 146.891, 25.0938, 160757
338, 161.797, 26.4443, 885518
338, 173.938, 28.4953, 955112
338, 194.609, 23.7719, 198506
338, 154.828, 29.6958, 873599
338, 171.859, 28.9995, 693345
338, 146.5, 23.199, 469350
338, 171.969, 27.6927, 523209
338, 173.656, 24.7146, 125761
338, 154.312, 27.5089, 689118
338, 167.734, 24.6047, 77036
338, 147.922, 25.9333, 154862
338, 163, 24.45, 190073
338, 173.484, 26.4375, 923840
338, 156.516, 24.5552, 58287
338, 143.422, 26.9557, 395349
338, 160.875, 26.5708, 724293
338, 150.688, 27.5177, 281924
338, 169.141, 26.5776, 840028
338, 142.031, 29.2661, 520104
338, 146.75, 26.4849, 835465
338, 200, 27.5458, 371619
338, 178.469, 25.3849, 525448
338, 173.188, 25.9214, 372219
338, 173.594, 29.1828, 646266
338, 186.422, 27.4578, 151526
338, 171.484, 25.6906, 209840
338, 141.562, 26.7771, 614323
338, 170.203, 26.5302, 774037
338, 156.281, 24.9073, 109568
338, 160.969, 27.6359, 392344
338, 145.578, 24.5766, 265852
338, 154.859, 25.7906, 563284
338, 190.094, 24.8995, 594006
338, 164.266, 27.1974, 158809
338, 198.125, 24.2193, 968619
338, 170.484, 30.6635, 661268
338, 133.578, 23.5188, 97169
338, 161.703, 31.688, 494836
338, 176.625, 26.9641, 317365
338, 184.094, 26.412, 168443
338, 182.5, 26.5464, 34601
338, 159.844, 26.7714, 725972
338, 165.703, 27.1443, 214493
338, 143.297, 25.4339, 100179
