tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 208.141, 15.8812, 69516
338, 254.281, 16.6302, 677223
338, 203.469, 15.4266, 915864
338, 207.312, 17.2661, 513997
338, 211.547, 15.7958, 570090
338, 227.062, 16.563, 916958
338, 175.719, 16.776, 894389
338, 206.75, 15.8505, 4015
338, 226.547, 17.8438, 830012
338, 201.969, 15.9286, 305438
338, 197.031, 16.6667, 605803
338, 202.875, 16.2323, 630821
338, 228.938, 17.6375, 170522
338, 172.828, 16.1557, 1469
338, 262.922, 19.7026, 717696
338, 223.906, 18.6313, 584716
338, 234.016, 15.5026, 486174
338, 223.312, 16.787, 490974
338, 219.719, 17.0609, 83126
338, 204.422, 17.0536, 616280
338, 200.578, 15.549, 966715
338, 199.984, 17.5927, 256212
338, 163.906, 16.8719, 289034
338, 201.594, 17.8729, 357294
338, 232, 17.5474, 958276
338, 216.641, 15.5578, 445891
338, 235.609, 16.9714, 505742
338, 224.844, 16.3573, 568885
338, 190.859, 15.8557, 455425
338, 228.328, 16.9896, 58255
338, 215.016, 17.3182, 464925
338, 160.734, 15.2198, 798069
338, 214.812, 17.2792, 939145
338, 218.156, 15.501, 829968
338, 253.688, 18.6438, 33878
338, 288.188, 18.0734, 561914
338, 228.094, 17.0083, 689979
338, 202.062, 15.4, 198205
338, 168.938, 16.5172, 103211
338, 235.562, 18.6583, 560516
338, 197.172, 15.2698, 694452
338, 202.453, 16.5453, 958150
338, 188.219, 15.9849, 730007
338, 187.234, 17.037, 337953
338, 259.359, 16.0177, 264760
338, 231.375, 16.7052, 124851
338, 229.484, 17.8531, 411688
338, 182.641, 15.6104, 581817
338, 209.562, 15.5536, 74057
338, 190.922, 16.1057, 118744
338, 198.875, 16.587, 886845
338, 225.906, 17.0047, 615232
338, 185.703, 16.6286, 873601
338, 187.219, 17.5641, 481579
338, 210.812, 16.5036, 51099
338, 186.938, 17.8365, 734753
338, 232.641, 18.6417, 890744
338, 209.047, 15.4505, 110381
338, 185.5, 14.9078, 9699
338, 222.344, 16.2948, 114272
