tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 168, 28.0984, 25799
338, 177.906, 26.8714, 674327
338, 118.234, 24.4328, 309125
338, 137.891, 24.1849, 175844
338, 185.656, 24.4214, 489955
338, 184.438, 25.4875, 697028
338, 148.297, 26.7536, 158405
338, 135.031, 25.3656, 24976
338, 200.516, 26.4104, 337225
338, 181.719, 26.6604, 508479
338, 170.734, 28.6646, 41119
338, 167.109, 24.7948, 408806
338, 157.594, 25.4542, 612147
338, 123.172, 26.7807, 49902
338, 148.453, 24.975, 204866
338, 161.641, 27.0906, 494066
338, 155.047, 22.5359, 848024
338, 162.125, 26.4344, 463522
338, 167.75, 23.863, 911445
338, 154.688, 26.6276, 646026
338, 187.203, 29.987, 768467
338, 159.656, 24.0323, 755685
338, 172.906, 28.0568, 376279
338, 179.953, 27.2583, 982807
338, 156.562, 27.85, 509614
338, 145.797, 23.9307, 145891
338, 153.203, 24.3682, 655120
338, 157.375, 24.974, 508774
338, 152.844, 27.2672, 32072
338, 197.188, 31.3958, 561439
338, 190.078, 26.0281, 275490
338, 235.906, 27.0604, 822453
338, 182.672, 27.3302, 43994
338, 195.078, 26.5646, 110736
338, 188.469, 25.7922, 39223
338, 187.297, 30.1146, 705408
338, 186.016, 30.0302, 412195
338, 148.547, 25.1724, 930147
338, 192.969, 27.1031, 576809
338, 161, 26.3781, 460453
338, 205.906, 34.2505, 168932
338, 155.562, 25.6531, 947288
338, 192.172, 26.9099, 202740
338, 149.094, 26.5323, 455371
338, 180.859, 26.2745, 237640
338, 141.344, 24.3792, 732055
338, 221.812, 31.663, 521583
338, 138.328, 24.2771, 670837
338, 159.844, 27.4729, 421863
338, 195.656, 26.4526, 541600
338, 169.75, 26.938, 126749
338, 127.875, 25.2443, 8017
338, 152.516, 25.0083, 591762
338, 173.766, 28.5927, 201122
338, 142.938, 23.2828, 690137
338, 160.516, 23.6536, 954605
338, 148.969, 27.699, 675638
338, 167.062, 27.5792, 400618
338, 159.562, 28.651, 537931
338, 167.797, 26.263, 795950
338, 153.234, 23.8969, 230459
338, 149.969, 27.1187, 749969
338, 200.641, 25.6781, 943945
338, 156.453, 24.4781, 555123
338, 116.297, 23.1167, 589330
338, 126.578, 26.1062, 906908
338, 150.828, 27.7786, 382743
338, 193.984, 26.8922, 463742
338, 161.547, 25.8172, 269386
338, 189.969, 25.8521, 108919
338, 166.969, 26.2161, 670704
338, 187.922, 27.6359, 940138
338, 197.266, 28.7208, 427940
338, 154.375, 25.0208, 315229
338, 170.906, 27.2703, 741843
338, 171.562, 28.6505, 441464
338, 181.125, 28.9755, 143018
338, 178.656, 26.9953, 871272
338, 156.562, 25.2307, 352228
338, 210.484, 28.5901, 430588
338, 166.875, 24.3406, 656519
338, 166.562, 28.9255, 64002
338, 161.625, 29.0161, 915599
338, 164.25, 26.276, 480404
338, 218.297, 31.4057, 788873
338, 142.703, 26.3031, 38740
338, 164.688, 28.9255, 327655
338, 188.156, 27.4266, 486398
338, 174.562, 27.0063, 765513
338, 147.281, 24.5948, 917002
338, 182.547, 28.499, 309244
338, 153.938, 26.1521, 355487
338, 165.969, 24.9479, 348622
338, 167.891, 25.4161, 448361
338, 173.312, 23.3792, 67691
338, 183.875, 23.9859, 829103
338, 189.125, 28.624, 503746
338, 129.062, 23.4083, 78455
338, 198.922, 28.8661, 581220
338, 167.203, 24.9875, 922474
