tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 273.656, 18.3901, 36523
338, 246.875, 18.6354, 53476
338, 262.375, 17.0073, 661602
338, 273.094, 18.1062, 472027
338, 291.484, 17.9167, 498612
338, 265.438, 17.6141, 88027
338, 235.75, 17.3417, 596479
338, 268.422, 17.5635, 282258
338, 248.672, 17.462, 673775
338, 261.578, 17.6385, 901829
338, 280.906, 17.776, 802598
338, 261.969, 17.7391, 509644
338, 246.5, 18.0026, 7688
338, 263.547, 17.463, 862999
338, 241.375, 17.8313, 743472
338, 284.25, 18.9557, 769383
338, 258.297, 17.3859, 949164
338, 276.859, 17.5802, 19918
338, 239.125, 17.7229, 118395
338, 255.406, 17.5193, 505182
338, 243.406, 16.6078, 451196
338, 232.625, 17.8755, 894918
338, 257.828, 17.3318, 37810
338, 266.766, 19.1729, 63109
338, 251.266, 17.9568, 531646
338, 285.016, 17.5734, 491576
338, 236.188, 17.6927, 598569
338, 244.953, 17.3495, 219287
338, 267.781, 18.026, 989467
338, 225.109, 17.337, 825512
338, 248.578, 16.8844, 354102
338, 262.703, 18.1719, 432179
338, 219.094, 17.8073, 293297
338, 254.453, 17.8323, 719393
338, 261.031, 16.7953, 767813
338, 246.656, 17.8141, 78020
338, 258.656, 17.8146, 275119
338, 266.219, 17.513, 401909
338, 265.672, 18.1453, 248795
338, 290.188, 17.2552, 749649
338, 259.672, 16.5818, 901746
338, 238.484, 18.0385, 443736
338, 291.312, 17.3542, 791475
338, 292.094, 18.113, 136682
338, 277.844, 17.0047, 247572
338, 243.844, 17.1234, 267574
338, 242.281, 17.5401, 629065
338, 260.547, 17.6599, 132708
338, 270.531, 16.8578, 722013
338, 225.562, 17.1339, 258853
338, 267.141, 17.612, 886072
338, 278.203, 17.4052, 194750
338, 256.109, 17.5766, 212617
338, 239.406, 19.5375, 887385
338, 261.703, 17.5813, 901597
338, 250.375, 17.8911, 588559
338, 267.906, 17.3224, 471209
338, 250.312, 17.4333, 243059
338, 237.844, 16.949, 910725
338, 262.281, 17.2948, 918459
338, 248.797, 18.2693, 358219
338, 238.922, 17.5385, 744424
338, 234.562, 18.8849, 43612
338, 261.188, 17.3896, 823860
338, 233.828, 18, 601839
338, 239.938, 16.9479, 219775
338, 258.547, 17.3734, 262220
339, 235.797, 17.6557, 30394
338, 269.734, 17.8385, 323134
338, 234.234, 17.2432, 642067
338, 249.844, 18.0948, 51123
338, 258.016, 17.2115, 848365
338, 262, 17.0828, 521665
338, 252.203, 17.5094, 517935
338, 264.438, 17.1641, 415719
338, 232.312, 18.0578, 87521
338, 293.062, 17.376, 308900
338, 281.031, 17.7406, 125676
338, 277.719, 17.6068, 369728
338, 272.703, 17.0557, 639551
338, 235.469, 17.4271, 465735
338, 289.594, 17.5953, 788243
338, 259.609, 16.8333, 209078
338, 252.812, 18.3943, 763023
338, 245.219, 16.9125, 602382
338, 276.781, 17.4292, 206144
338, 274.922, 16.687, 321598
338, 266.5, 17.4172, 475655
338, 241.297, 17.6031, 753649
338, 250.875, 17.9807, 361953
338, 276, 18.7292, 266095
338, 257.188, 19.2115, 208597
338, 258.75, 17.687, 541850
338, 682.25, 22.2203, 883036
338, 265.516, 16.7182, 716783
338, 263.953, 18.5266, 186201
338, 245.156, 17.7437, 419922
338, 270.422, 19.476, 256931
338, 258.156, 16.8969, 915700
338, 260.656, 18.5797, 25823
