tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 135.938, 12.2854, 66671
338, 125.984, 12.0464, 129152
338, 145.016, 14.0062, 921755
338, 128.969, 13.3526, 771718
338, 131.969, 12.1635, 777316
338, 125.594, 12.138, 894708
338, 145.422, 13.188, 776378
338, 126.438, 13.2516, 785079
338, 133.641, 12.7458, 613619
338, 159.422, 13.1615, 541911
338, 126.516, 12.4771, 213788
338, 131.078, 13.0594, 743540
338, 145.609, 13.276, 46650
338, 133.984, 13.1656, 817476
338, 129.875, 13.1094, 280763
338, 127.344, 11.6177, 33768
338, 124.766, 12.0911, 253196
338, 135.828, 12.476, 316243
338, 133.906, 12.7766, 871875
338, 133.328, 12.6172, 929356
338, 135.422, 12.1818, 678676
338, 117.484, 12.451, 742397
338, 130.547, 11.8958, 478633
338, 126.188, 12.375, 271058
338, 128.703, 12.8297, 956962
338, 121.844, 11.6391, 113163
338, 136.766, 12.6625, 311225
338, 128.641, 12.5328, 298516
338, 140.734, 13.0724, 940661
338, 121.547, 12.6687, 273211
338, 134.094, 13.363, 479701
338, 137.047, 12.987, 585972
338, 142.188, 12.8453, 903961
338, 129.281, 12.4453, 366371
338, 128.828, 12.2641, 10711
338, 133.469, 12.1672, 313807
338, 127.938, 12.3693, 320208
338, 109.875, 11.2536, 182858
338, 125.984, 13.2453, 92893
338, 127, 12.5708, 968626
338, 126.047, 11.7542, 706200
338, 142.078, 13.0458, 103122
338, 131.906, 12.2812, 482064
338, 116.328, 11.9479, 735776
338, 121.594, 12.4792, 349017
338, 117.219, 12.3068, 10000
338, 123.766, 13.249, 806113
338, 107.922, 12.3245, 724148
338, 122.531, 13.4255, 911453
338, 124.031, 12.8745, 93700
338, 138.234, 13.4479, 269456
338, 120.766, 12.5943, 225098
338, 138.391, 12.0115, 225747
338, 121.094, 12.5161, 963234
338, 135.656, 12.9958, 396334
338, 135.891, 12.3708, 441088
338, 142.25, 12.3521, 867251
338, 143.828, 12.6464, 537475
338, 121.031, 11.5375, 252306
338, 120.141, 13.0526, 331349
338, 126.141, 12.3766, 640876
338, 138.344, 12.4125, 933912
338, 137.953, 12.6422, 194715
338, 117.062, 12.013, 713770
338, 149.5, 13.4443, 336573
338, 133.812, 12.6151, 82200
338, 134.688, 12.863, 751350
338, 129.297, 12.9891, 564395
338, 121.125, 12.4896, 562437
338, 117.844, 12.2396, 849190
338, 130.266, 12.2411, 904166
338, 137.25, 12.3245, 766696
338, 125.344, 11.9052, 838823
338, 129.141, 12.2391, 359038
338, 138.797, 13.2182, 264234
338, 115.609, 12.6479, 684789
338, 135.516, 13.2667, 353057
338, 123.109, 12.0797, 129373
338, 133.906, 12.6333, 917624
338, 128.547, 11.951, 554191
338, 138.688, 12.9135, 4031
338, 123.922, 12.5745, 367714
338, 131.125, 12.6609, 8758
338, 137.969, 13.35, 644649
338, 121.672, 12.5208, 407021
338, 136.953, 12.7729, 798841
338, 116.609, 12.6156, 674726
338, 127.062, 12.2198, 212630
338, 146.594, 13.512, 231060
338, 135.531, 12.7349, 124306
338, 116.031, 12.2734, 851540
338, 133.781, 12.4432, 99298
338, 125.016, 12.7016, 337470
338, 121.188, 12.4854, 56720
338, 118.031, 11.9427, 444038
338, 132.438, 12.4448, 54734
338, 120.969, 12.5958, 350862
338, 145.375, 12.7453, 184665
338, 135.375, 11.9047, 979432
338, 130.344, 13.0161, 464557
