tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 116.328, 11.812, 725168
338, 104.828, 11.0703, 242954
338, 98.125, 10.9359, 648067
338, 108.328, 11.1271, 924281
338, 109.062, 12.1865, 394927
338, 99.6875, 11.701, 777652
338, 111.609, 11.2141, 270672
338, 116.891, 12.7016, 12658
338, 101.844, 11.5016, 962378
338, 104.953, 11.3667, 933929
338, 103.578, 11.0448, 860469
338, 114.203, 12.4703, 131380
338, 91.375, 11.3026, 702240
338, 98.9531, 11.2771, 477717
338, 117.203, 12.05, 174404
338, 104.562, 11.4672, 16085
338, 111.984, 12.3578, 128260
338, 129.938, 12.4167, 401460
338, 109.172, 11.4021, 108366
338, 102.859, 11.2599, 975535
338, 127.828, 12.501, 671278
338, 113.953, 11.6526, 279587
338, 117.828, 11.6734, 663685
338, 92.1719, 10.6234, 74986
338, 99.4531, 10.7016, 708398
338, 103.203, 12.4839, 389442
338, 103.297, 12.1641, 278078
338, 106.719, 11.8771, 543275
338, 99.7812, 11.6297, 432583
338, 109.281, 11.0286, 44770
338, 100.234, 11.2823, 155613
338, 110.031, 10.8792, 754271
338, 112.734, 12.1484, 900472
338, 100.203, 11.2745, 961616
338, 101.828, 11.5932, 712332
338, 99.7656, 11.7354, 922508
338, 107.828, 11.7922, 397684
338, 95.4062, 11.3516, 275327
338, 120.141, 11.1078, 235848
338, 122.281, 11.8609, 736335
338, 112.219, 12.2234, 263422
338, 113.703, 11.5896, 377413
338, 100.25, 11.65, 479280
338, 116.953, 11.4854, 854636
338, 109.438, 11.4021, 211532
338, 105.406, 11.4198, 479382
338, 126.047, 12.3901, 480879
338, 121.25, 11.3688, 10961
338, 99.1562, 11.699, 17934
338, 139.719, 12.599, 453977
338, 94.4062, 11.6583, 339852
338, 109.672, 11.0542, 859763
338, 117.469, 11.4016, 125733
338, 93.9688, 11.0328, 943541
338, 103.531, 11.6453, 345426
338, 116.656, 11.8359, 621063
338, 111.094, 10.7573, 555863
338, 109.062, 12.1323, 728007
338, 113.25, 11.4427, 93678
338, 108.641, 11.7802, 108685
338, 112.953, 12.0646, 779533
338, 110.188, 11.2438, 684708
338, 90.1719, 11.0344, 310640
338, 106.234, 11.1427, 941212
338, 118.453, 12.5089, 690206
338, 98.9219, 11.3615, 433233
338, 85.4531, 10.8302, 552721
338, 114.391, 12.2531, 578969
338, 115.375, 11.8802, 848731
338, 95.2031, 10.962, 473653
338, 127.078, 12.5615, 632482
338, 114.281, 11.6438, 479389
338, 101.266, 11.1328, 156321
338, 136.5, 13.0542, 37222
338, 105.812, 11.8031, 425500
338, 130.484, 12.3255, 567036
338, 115.953, 13.1109, 407715
338, 119.203, 11.4432, 793624
338, 108.156, 11.2906, 415246
338, 94.8125, 11.6344, 289095
338, 108.562, 11.524, 491409
338, 122.297, 11.8104, 942869
338, 110.203, 11.5781, 658035
338, 128.359, 12.6974, 50139
338, 105.266, 12.712, 916752
338, 103.25, 11.7349, 991735
338, 105.375, 11.8859, 492329
338, 123.5, 10.9854, 430703
338, 111.359, 12.6797, 586750
338, 111.312, 11.4792, 972254
338, 122.578, 11.6068, 491171
338, 124.812, 12.2172, 478454
338, 100, 11.6083, 15491
338, 129.359, 12.2526, 783894
338, 138.969, 11.8224, 264432
338, 120.797, 12.263, 55188
338, 100.875, 11.4177, 144253
338, 119.906, 12.8745, 263875
338, 104.562, 11.35, 935105
338, 106.016, 11.8313, 437656
