tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 104.938, 12.2432, 624386
338, 116.297, 11.9125, 738640
338, 117.094, 11.9573, 59641
338, 107.672, 11.6318, 436617
338, 111.719, 12.2271, 372836
338, 97.8125, 12.2771, 201580
338, 110.219, 11.8734, 312081
338, 106.094, 11.8422, 599291
338, 116.531, 11.837, 912185
338, 99.7656, 11.6146, 212454
338, 111.203, 11.9344, 937508
338, 111.797, 11.6698, 705069
338, 105.328, 11.8063, 583562
338, 116.688, 11.7323, 998641
338, 129.484, 12.4151, 91364
338, 100.047, 11.4042, 377687
338, 101.422, 11.7109, 13366
338, 123.734, 11.4458, 997235
338, 105.922, 11.2589, 277337
338, 91.1406, 11.1677, 34984
338, 93.4844, 11.5219, 300158
338, 105, 11.1599, 987789
338, 111.938, 11.3557, 7393
338, 123.391, 12.0646, 344396
338, 107.578, 11.6969, 8315
338, 117.078, 12.45, 887073
338, 105.859, 11.9375, 162549
338, 96.625, 11.2391, 525254
338, 113.172, 11.4641, 725860
338, 119.875, 11.6917, 368420
338, 126.016, 13.049, 253846
338, 114, 11.8484, 519083
338, 105.047, 11.6141, 846746
338, 104.484, 11.9635, 792524
338, 111.609, 10.6797, 182924
338, 115.156, 11.2547, 388186
338, 112.75, 11.9375, 539571
338, 131.266, 12.1401, 13586
338, 108.141, 11.737, 668578
338, 98.3594, 11.5021, 883812
338, 121.719, 11.2943, 440430
338, 104.266, 11.7089, 670547
338, 96.8125, 11.5526, 480829
338, 127.719, 12.2583, 215979
338, 90.5156, 10.763, 503660
338, 109.844, 11.8292, 454622
338, 108.172, 10.9458, 636612
338, 111.031, 12.913, 682540
338, 104.578, 12.3792, 608527
338, 107.719, 11.6891, 696948
338, 93.875, 11.7411, 109787
338, 95.8594, 11.3495, 202532
338, 116.562, 11.8156, 539393
338, 113.016, 12.4365, 853763
338, 105.328, 11.7734, 986616
338, 115.031, 12.0563, 184993
338, 98.5, 11.1, 509828
338, 116.094, 11.8724, 411542
338, 107.578, 12.3391, 428723
338, 111.5, 12.0703, 428808
338, 126.422, 12.3953, 999055
338, 119.828, 11.5802, 82718
338, 103.828, 11.9677, 848856
338, 114.578, 11.1469, 242968
338, 124.188, 12.0292, 76583
338, 113.375, 12.45, 526646
338, 102.422, 11.5792, 657236
338, 111.984, 11.4057, 351211
338, 113.578, 11.5526, 745457
338, 94.9062, 11.0057, 261084
338, 100.953, 11.4161, 35170
338, 91.875, 11.7849, 424626
338, 97.8906, 11.6245, 615582
338, 94.1562, 11.7365, 269167
338, 115.25, 11.7031, 102007
338, 99.5938, 11.8589, 920101
338, 122.016, 11.4172, 92314
338, 105.125, 11.5266, 502220
338, 107.875, 11.2792, 986165
338, 105.797, 11.9385, 203483
338, 109.812, 11.3755, 366314
338, 125.328, 11.576, 616624
338, 120.094, 11.7656, 299228
338, 100.844, 11.2677, 148010
338, 106.109, 12.7052, 247379
338, 112.438, 11.8359, 127169
338, 104.453, 11.9901, 209679
338, 104.625, 11.4375, 458920
338, 99.0469, 12.4688, 880306
338, 106.609, 12.488, 959479
338, 108.484, 11.1161, 72155
338, 130.688, 13.4432, 881520
338, 94.8594, 12.4479, 819098
338, 113.688, 11.9354, 29528
338, 98.5781, 11.7542, 323911
338, 98.5938, 12.125, 417077
338, 126.984, 12.0693, 15179
338, 109.828, 11.6979, 409150
338, 96.7188, 11.4271, 281824
338, 117.266, 11.6969, 703095
