tags_collected, collisions_in_seconds, time_in_minutes, random_seed
338, 126.719, 12.8146, 365602
338, 128.469, 12.4375, 148058
338, 93.1094, 12.2214, 69496
338, 120.578, 13.3641, 787261
338, 115.609, 12.099, 384656
338, 117.266, 11.8224, 4492
338, 122.281, 12.976, 986592
338, 104.656, 12.0484, 33161
338, 109.562, 12.425, 564366
338, 100.094, 12.6625, 470553
338, 112.719, 12.1849, 941635
338, 106.797, 11.9495, 163485
338, 96.0781, 11.95, 468230
338, 115.969, 12.7182, 655604
338, 117.531, 12.6073, 204359
338, 136.609, 13.1161, 470061
338, 119.062, 11.838, 703178
338, 117.234, 12.7286, 668810
338, 117.453, 11.3703, 199410
338, 124.969, 12.4187, 460739
338, 101.359, 11.9297, 467602
338, 133.297, 12.426, 681105
338, 122.266, 12.8406, 625270
338, 107.453, 12.5177, 322113
338, 105.953, 12.224, 606423
338, 99.7188, 11.9474, 444593
338, 125.656, 12.1188, 693945
338, 89.1094, 11.9568, 75333
338, 130.938, 11.1568, 518207
338, 121.828, 13.6969, 530103
338, 114.766, 12.0563, 620286
338, 122.109, 12.9536, 140166
338, 112.953, 12.3094, 117289
338, 90.1562, 11.1172, 920487
338, 113.453, 12.6057, 822794
338, 103.938, 12.0193, 103727
338, 117.656, 12.0703, 455848
338, 95.6562, 12.3005, 863266
338, 103.828, 12.5682, 980452
338, 122.234, 12.7693, 484547
338, 109.375, 11.7885, 946591
338, 103.25, 11.2422, 907971
338, 103.797, 11.5687, 649827
338, 102.484, 11.5516, 645928
338, 106.703, 11.9437, 555851
338, 138.938, 13.049, 121466
338, 118.672, 12.0677, 360602
338, 107.25, 12.0984, 902691
338, 101.078, 11.9552, 648813
338, 115.25, 12.9255, 985474
338, 130.094, 13.5026, 940846
338, 105.375, 11.6995, 783888
338, 104.062, 12.7589, 982444
338, 109.969, 13.1823, 874501
338, 122.812, 12.2302, 277216
338, 98.0312, 11.7312, 24388
338, 114.781, 12.6479, 911664
338, 100.078, 11.5724, 329276
338, 116.766, 12.1167, 202643
338, 123.453, 11.6823, 42920
338, 122.766, 13.3604, 988919
338, 118.406, 12.1599, 623316
338, 109, 12.1583, 377025
338, 129.328, 14.2, 136661
338, 113.141, 11.763, 309017
338, 113.812, 12.1193, 504359
338, 110.031, 11.8036, 224979
338, 124.078, 13.4839, 390288
338, 121.547, 12.5552, 110221
338, 102.047, 12.0161, 485808
338, 121.625, 12.2906, 9103
338, 110.562, 12.5406, 61861
338, 116.344, 12.2937, 479168
338, 110.422, 13.3875, 371825
338, 98.3594, 11.8938, 197281
338, 106.297, 12.1234, 562753
338, 95.9844, 11.1297, 500565
338, 108.328, 12.2865, 524793
338, 97.7656, 11.626, 606621
338, 100.953, 12.0469, 390540
338, 88.6875, 11.5594, 113382
338, 98.4062, 11.9729, 978385
338, 105.047, 12.1755, 641021
338, 104.516, 12.2531, 604820
338, 106.047, 11.4115, 566776
338, 126.125, 13.2328, 222557
338, 106.141, 12.2656, 586631
338, 110.328, 11.674, 728758
338, 115.438, 12.3089, 857835
338, 112.844, 11.663, 149561
338, 121.25, 12.1943, 198751
338, 107.719, 11.6099, 88210
338, 105.078, 12.9417, 222558
338, 102.141, 11.7542, 408471
338, 115.328, 12.4594, 867979
338, 115.375, 11.2177, 285043
338, 111.141, 11.2312, 907174
338, 109.953, 12.4792, 649560
338, 109.594, 11.9708, 488620
338, 118.859, 12.5323, 915118
